Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
4/1/2019 12:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/1/2019 1:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/1/2019 2:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/1/2019 3:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
4/1/2019 4:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
4/1/2019 5:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
4/1/2019 6:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
4/1/2019 7:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
4/1/2019 8:00:00 AM,Banning,3,1-hr,µg/m3,N/A,N/A,
4/1/2019 9:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
4/1/2019 10:00:00 AM,Banning,5,1-hr,µg/m3,N/A,N/A,
4/1/2019 11:00:00 AM,Banning,1,1-hr,µg/m3,N/A,N/A,
4/1/2019 12:00:00 PM,Banning,4,1-hr,µg/m3,N/A,N/A,
4/1/2019 1:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
4/1/2019 2:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
4/1/2019 3:00:00 PM,Banning,2,1-hr,µg/m3,N/A,N/A,
4/1/2019 4:00:00 PM,Banning,4,1-hr,µg/m3,N/A,N/A,
4/1/2019 5:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
4/1/2019 6:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/1/2019 7:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
4/1/2019 8:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
4/1/2019 9:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
4/1/2019 10:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/1/2019 11:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
4/2/2019 12:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
4/2/2019 1:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
4/2/2019 2:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
4/2/2019 3:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
4/2/2019 4:00:00 AM,Banning,20,1-hr,µg/m3,N/A,N/A,
4/2/2019 5:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
4/2/2019 6:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
4/2/2019 7:00:00 AM,Banning,5,1-hr,µg/m3,N/A,N/A,
4/2/2019 8:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/2/2019 9:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/2/2019 10:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
4/2/2019 11:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
4/2/2019 12:00:00 PM,Banning,15,1-hr,µg/m3,N/A,N/A,
4/2/2019 1:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
4/2/2019 2:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
4/2/2019 3:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
4/2/2019 4:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
4/2/2019 5:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
4/2/2019 6:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
4/2/2019 7:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
4/2/2019 8:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
4/2/2019 9:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
4/2/2019 10:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
4/2/2019 11:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
4/3/2019 12:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
4/3/2019 1:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
