Date,PM2.5,Site Name,CBSA_NAME,STATE,COUNTY,Month
2020-01-01,8.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-02,4.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-03,14.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-04,10.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-05,7.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-06,6.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-07,6.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-08,3.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-09,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-10,5.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-11,5.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-12,5.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-13,2.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-14,4.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-15,5.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-16,2.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-17,5.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-18,5.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-19,8.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-20,16.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-21,2.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-22,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-23,7.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-24,8.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-25,7.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-26,3.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-27,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-28,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-29,6.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-30,6.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-31,10.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-02-01,14.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-02,6.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-03,2.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-04,2.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-05,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-06,8.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-07,12.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-08,10.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-09,1.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-10,1.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-11,2.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-12,5.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-13,8.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-14,8.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-15,10.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-19,7.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-20,11.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-21,8.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-22,9.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-23,5.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-24,4.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-25,3.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-26,9.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-27,11.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-28,10.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-29,7.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-03-01,3.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-02,1.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-03,4.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-04,8.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-05,11.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-06,4.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-07,2.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-08,4.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-09,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
